pair,pixel,fourier,curvature,centroid,texture,total
1.right - 13.left,0.24316059,0.24838619555239244,0.9200254086413113,0.380069428547751,0.292722849617605,0.2893280642174105
1.bottom - 13.top,0.226634,0.3958572152381532,1.0,0.45392077001528497,0.314764897631247,0.3024020468276899
1.right - 14.left,0.14472456,0.40680100821682263,1.0,0.22184392226666683,0.35284647259725027,0.23836413514942584
1.bottom - 14.top,0.25954714,0.44895967238119544,1.0,0.37510879134097846,0.32346246950568674,0.32768065765817245
1.right - 15.left,0.17745098,0.2393778257420953,0.9199378342589939,0.2504725222700255,0.2644928998049059,0.2331232752122935
1.bottom - 15.top,0.3701681,0.305300303353939,1.0,0.5096231402468451,0.3461883920170757,0.39974768945609046
2.right - 0.left,0.15448178,0.14127426156439238,0.9253125404138524,0.5322812574822222,0.3150924910520412,0.2266536151030413
2.bottom - 0.top,0.24656862,0.3831614650832104,1.0,0.4603313284794067,0.2740554697452626,0.31133629405026547
2.right - 1.left,0.32728758,0.08145662214835041,1.0,0.16254138517248592,0.2502102028237632,0.32039505199539864
2.bottom - 1.top,0.37453315,0.5151520291302762,0.8504043133838587,0.43460793943888504,0.2982291399834912,0.4077619351666039
2.right - 3.left,0.18720822,0.2028476967630423,0.8626148172538722,0.4809967393635531,0.34738722106724756,0.2532498283381129
2.bottom - 3.top,0.19479458,0.4260555073153308,1.0,0.4501206996532985,0.29171978689055195,0.28063976915140687
2.right - 4.left,0.25648928,0.3656270578443231,0.8307134020130693,0.31095740590715026,0.21920950419828936,0.29510969340069493
2.bottom - 4.top,0.18716152,0.5175271157214976,0.9790946014365696,0.39525124893305086,0.3258058522810437,0.2840636548952885
2.right - 5.left,0.29530814,0.5980079282159033,1.0,0.5138212533596703,0.3077018556361888,0.37297774406375184
2.bottom - 5.top,0.20086367,0.40506278505338067,0.9904448095278111,0.31907233902716353,0.37061356709633236,0.2836480631507233
2.right - 6.left,0.23655462,0.2088303460904586,0.9614001428776802,0.3605785747179415,0.28039785610467627,0.2806099859939326
2.bottom - 6.top,0.17759103,0.39210234883354633,0.9975968704994508,0.30732565900745223,0.3334629730263534,0.26211637823197187
2.right - 7.left,0.21311858,0.3283407403469332,0.891261799538364,0.28865802324544537,0.4051309736920118,0.2815261676376132
2.bottom - 7.top,0.14481792,0.46392498276309657,1.0,0.3556020231750886,0.29733147677534494,0.24527828710969937
2.right - 8.left,0.317507,0.20079948062161315,0.8775018429484371,0.31791051346822957,0.4109171215955706,0.34319718016695666
2.bottom - 8.top,0.17917834,0.45084254031976356,1.0,0.4106906931371879,0.3202741421562429,0.2730710350100966
2.right - 9.left,0.2987395,0.2659861018022278,0.8324124607255678,0.43638234595992914,0.2986415348813672,0.3290201400871909
2.bottom - 9.top,0.15182073,0.40214202822168327,1.0,0.41058037744410314,0.31252548529468444,0.24827028561423808
2.right - 10.left,0.095308125,0.34534520159824417,0.9449947498158203,0.3191370851869854,0.3150979144792641,0.19596659087124257
2.bottom - 10.top,0.1469888,0.38468791228386034,0.7849312400259776,0.34208596245219164,0.2660137221214527,0.2243131765295086
2.right - 11.left,0.25270775,0.18142779040577178,0.9724961846616755,0.31001635072542216,0.2649203677910123,0.28565586731265846
2.bottom - 11.top,0.21458916,0.26844685447267636,0.9133973511043799,0.4114286502894606,0.3340219330865992,0.27670058593774116
2.right - 12.left,0.2662932,0.6664710678837354,0.8797157895322979,0.3096663179790343,0.23111678542155753,0.33563313219550633
2.bottom - 12.top,0.2089169,0.4668128931547446,1.0,0.41213375537012586,0.30219608828556427,0.29374941471178495
2.right - 13.left,0.19918302,0.13344635555558357,0.9208553562083728,0.2849119901830501,0.24862650875833048,0.23792376268155033
2.bottom - 13.top,0.22941177,0.034046870388316275,0.9193810300273714,0.29110806507791437,0.3144981045594277,0.2559671869130483
2.right - 14.left,0.11643324,0.510544775193132,1.0,0.5117378835374911,0.2693363870403823,0.23507827500622494
2.bottom - 14.top,0.30070028,0.428458222094414,0.9217811217731029,0.3997459067702146,0.38952855456047863,0.35836522603593823
2.right - 15.left,0.17404294,0.3605790322299519,0.9194335210381084,0.47537388223100113,0.29674368468009743,0.2573026954819514
2.bottom - 15.top,0.44222692,0.2973981424623992,0.9024310643236892,0.31912580778165556,0.32088509444383534,0.43246500590177145
3.right - 0.left,0.22117181,0.2911052183193539,0.903224444270011,0.40836675712667775,0.3611349128372319,0.2856238365712657
3.bottom - 0.top,0.16545284,0.21429467885143638,1.0,0.46239513762298645,0.34091654610674577,0.2444578674279052
3.right - 1.left,0.21447246,0.28511605696206155,1.0,0.2249336118944948,0.3349602713787641,0.2733850323752642
3.bottom - 1.top,0.22619046,0.2864585968460435,0.8879698945136315,0.43609338421184396,0.3265305011170907,0.28583539017793785
3.right - 2.left,0.06188142,0.2355450828799697,1.0,0.0709511171598325,0.28491678242963037,0.14891073625134216
3.bottom - 2.top,0.2981326,0.4798074874962559,1.0,0.3052434464219487,0.3053131156847663,0.3524670515192808
3.right - 4.left,0.051844068,0.2990943501840448,0.8061701539300115,0.06340959310516042,0.38113176856019154,0.1477924459912236
3.bottom - 4.top,0.29339403,0.26643792696931834,1.0,0.37442915714974134,0.32292178038493097,0.3330332489912427
